Title,Category,Rating,Year,Length,Type,Age,Genre
Muck,['thanks'],2.6/10,2015,1h 39m,Movie,Not Rated,['Horror']
Mantus,['thanks'],4.5/10,2014,,Movie,,"['Comedy', 'Drama', 'Thriller']"
21 Years: Richard Linklater,['thanks'],6.6/10,2014,1h 18m,Movie,Not Rated,"['Documentary', 'Biography']"
Out of Print,['thanks'],6.7/10,2014,1h 26m,Movie,Not Rated,['Documentary']
Silence Speaks,['thanks'],,2013,,Movie,,"['Comedy', 'Drama', 'Thriller']"
Vi är Förlorare,['thanks'],5.2/10,2013,1h 21m,Movie,,"['Action', 'Comedy', 'Crime']"
Malaria,['thanks'],7.7/10,2013,6m,Movie,,"['Animation', 'Short', 'Action']"
"I Am a Free Man, Not a Slave",['thanks'],,2013,,Movie,,"['Short', 'Drama', 'History']"
Elle,['thanks'],6.3/10,2013,57m,Movie,,"['Documentary', 'Biography']"
The World's End,['thanks'],6.9/10,2013,1h 49m,Movie,15,"['Action', 'Comedy', 'Sci-Fi']"
American Federale,['thanks'],5.7/10,2013,1h 12m,Movie,Not Rated,"['Documentary', 'Biography', 'History']"
Horror Talk Movie Reviews,['thanks'],3.7/10,2013–,,TV Series,,['Horror']
Bad Romance,['thanks'],4.8/10,2013,1h 40m,Movie,,"['Drama', 'Romance', 'Thriller']"
Don Jon,['thanks'],6.5/10,2013,1h 30m,Movie,15,"['Comedy', 'Drama', 'Romance']"
Kiddy Kiddy Bang Bang,['thanks'],9.1/10,2012,9m,Movie,,"['Short', 'Horror', 'Thriller']"
The Day I Kidnapped Tom Cruise,['thanks'],5.0/10,2012,21m,Movie,,"['Short', 'Comedy', 'Drama']"
Strutter,['thanks'],7.0/10,2012,1h 27m,Movie,,"['Drama', 'Music']"
House Hunting,['thanks'],5.1/10,2012,1h 42m,Movie,R,"['Horror', 'Mystery', 'Thriller']"
Tráiganme la Cabeza de la Mujer Metralleta,['thanks'],5.4/10,2012,1h 13m,Movie,Not Rated,"['Action', 'Comedy', 'Crime']"
Him Indoors,['thanks'],7.1/10,2012,11m,Movie,,"['Short', 'Comedy', 'Horror']"
A Little Bit Zombie,['thanks'],5.3/10,2012,1h 27m,Movie,R,"['Comedy', 'Horror', 'Sci-Fi']"
13 Steps,['thanks'],5.6/10,2011,14m,Movie,,"['Short', 'Drama', 'Mystery']"
Acid Head: The Buzzard Nuts County Slaughter,['thanks'],1.7/10,2011,2h 25m,Movie,,"['Action', 'Crime', 'Horror']"
Below the Line,['thanks'],8.1/10,2011,1h 14m,Movie,,['Comedy']
Black Sunshine: Conversations with T.F. Mou,['thanks'],7.2/10,2011,1h 35m,Movie,,"['Documentary', 'Biography', 'History']"
"Climb It, Tarzan!",['thanks'],5.2/10,2011,1h 14m,Movie,Not Rated,"['Comedy', 'Drama']"
Underbelly Blues,['thanks'],5.7/10,2011,1h 40m,Movie,,"['Comedy', 'Crime']"
Snails!,['thanks'],7.9/10,2011,17m,Movie,,"['Short', 'Action', 'Romance']"
Violet & Daisy,['thanks'],6.0/10,2011,1h 28m,Movie,R,"['Action', 'Comedy', 'Crime']"
Justifiable Circumstances,['thanks'],8.6/10,2011,7m,Movie,,"['Short', 'Drama']"
