Title,Category,Rating,Year,Length,Type,Age,Genre,URL
The Flintstones,"['producer', 'additional crew']",4.9/10,1994,1h 31m,Movie,7,"['Comedy', 'Family', 'Fantasy']",https://www.imdb.com/title/tt0109813/?ref_=nm_flmg_prd_126
I'm Mad,['producer'],7.5/10,1994,5m,Movie,G,"['Animation', 'Short', 'Comedy']",https://www.imdb.com/title/tt0110098/?ref_=nm_flmg_prd_127
Tiny Toons Spring Break,['producer'],7.2/10,1994,45m,TV Movie,TV-Y,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0108343/?ref_=nm_flmg_prd_128
Schindler's List,"['producer', 'director']",9.0/10,1993,3h 15m,Movie,15,"['Biography', 'Drama', 'History']",https://www.imdb.com/title/tt0108052/?ref_=nm_flmg_prd_129
Rex och hans vänner - ett dinosaurieäventyr,['producer'],6.0/10,1993,1h 12m,Movie,G,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0108526/?ref_=nm_flmg_prd_130
Family Dog,['producer'],6.9/10,1993,30m,TV Series,TV-Y,"['Animation', 'Family', 'Comedy']",https://www.imdb.com/title/tt0105996/?ref_=nm_flmg_prd_131
Class of '61,['producer'],5.5/10,1993,1h 35m,TV Movie,TV-PG,"['Action', 'Drama']",https://www.imdb.com/title/tt0106578/?ref_=nm_flmg_prd_132
Trail Mix-Up,['producer'],7.1/10,1993,8m,Movie,G,"['Animation', 'Short']",https://www.imdb.com/title/tt0108377/?ref_=nm_flmg_prd_133
Tiny Toon Adventures,"['producer', 'actor']",7.5/10,1990–1995,21m,TV Series,TV-G,"['Animation', 'Short', 'Adventure']",https://www.imdb.com/title/tt0098929/?ref_=nm_flmg_prd_134
Fievel's American Tails,['producer'],6.1/10,1992,30m,TV Series,TV-G,"['Animation', 'Short', 'Adventure']",https://www.imdb.com/title/tt0221172/?ref_=nm_flmg_prd_135
The Plucky Duck Show,['producer'],6.4/10,1992,,TV Series,TV-G,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0103513/?ref_=nm_flmg_prd_136
Tiny Toon Adventures: How I Spent My Vacation,['producer'],8.0/10,1992,1h 19m,Video,Not Rated,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt0105598/?ref_=nm_flmg_prd_137
A Wish for Wings That Work,['producer'],7.6/10,1991,22m,TV Short,TV-G,"['Animation', 'Short', 'Adventure']",https://www.imdb.com/title/tt0103272/?ref_=nm_flmg_prd_138
Fievel och den vilda västern,['producer'],6.4/10,1991,1h 15m,Movie,7,"['Animation', 'Adventure']",https://www.imdb.com/title/tt0101329/?ref_=nm_flmg_prd_139
Curly Sue,['producer'],5.8/10,1991,1h 41m,Movie,7,"['Comedy', 'Drama']",https://www.imdb.com/title/tt0101635/?ref_=nm_flmg_prd_140
Kosmos,['producer'],7.3/10,1991,1h 20m,Movie,Btl,['Documentary'],https://www.imdb.com/title/tt0103882/?ref_=nm_flmg_prd_141
Cape Fear,['producer'],7.3/10,1991,2h 8m,Movie,15,"['Crime', 'Thriller']",https://www.imdb.com/title/tt0101540/?ref_=nm_flmg_prd_142
Tillbaka till framtiden,"['producer', 'producer', 'additional crew']",6.3/10,1991–1993,23m,TV Series,TV-Y,"['Animation', 'Adventure']",https://www.imdb.com/title/tt0101042/?ref_=nm_flmg_prd_143
"Warner Bros. Celebration of Tradition, June 2, 1990",['producer'],5.6/10,1990,2h 30m,TV Movie,,[],https://www.imdb.com/title/tt0842936/?ref_=nm_flmg_prd_144
