Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Made in Hollywood,['self'],4.9/10,2005–,1h,TV Series,TV-PG,[],https://www.imdb.com/title/tt0911896/?ref_=nm_flmg_slf_33
WWF SmackDown!,['self'],7.2/10,1999–,2h,TV Series,TV-14,"['Action', 'Sport']",https://www.imdb.com/title/tt0227972/?ref_=nm_flmg_slf_34
Zoe Ball on ...,"['self', 'archive footage']",4.2/10,2018–,,TV Series,,"['Music', 'Talk-Show']",https://www.imdb.com/title/tt8277062/?ref_=nm_flmg_slf_35
Variety Studio: Actors on Actors,['self'],7.0/10,2014–,,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt4267324/?ref_=nm_flmg_slf_36
Watch What Happens Live with Andy Cohen,['self'],5.4/10,2009–,22m,TV Series,TV-14,[],https://www.imdb.com/title/tt2057880/?ref_=nm_flmg_slf_37
2018 MTV Movie & TV Awards,['self'],4.5/10,2018,,TV Special,,[],https://www.imdb.com/title/tt8583588/?ref_=nm_flmg_slf_38
Off Camera with Sam Jones,['self'],8.4/10,2014–,58m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt3473134/?ref_=nm_flmg_slf_39
The Late Show with Stephen Colbert,['self'],7.1/10,2015–,41m,TV Series,TV-PG,['Comedy'],https://www.imdb.com/title/tt3697842/?ref_=nm_flmg_slf_40
The IMDb Show,['self'],6.0/10,2017–,13m,TV Series,,['Talk-Show'],https://www.imdb.com/title/tt7549864/?ref_=nm_flmg_slf_41
2018 Billboard Music Awards,['self'],6.9/10,2018,,TV Special,,['Music'],https://www.imdb.com/title/tt8522342/?ref_=nm_flmg_slf_42
Rossercize,['self'],,2018,,Video,,"['Short', 'Comedy']",https://www.imdb.com/title/tt11569344/?ref_=nm_flmg_slf_43
The Post: Stop the Presses - Filming the Post,['self'],6.5/10,2018,26m,Movie,,"['Documentary', 'Short']",https://www.imdb.com/title/tt8641782/?ref_=nm_flmg_slf_44
33rd Film Independent Spirit Awards,['self'],6.0/10,2018,,TV Special,,[],https://www.imdb.com/title/tt7635548/?ref_=nm_flmg_slf_45
The Joel McHale Show with Joel McHale,['self'],7.1/10,2018,30m,TV Series,TV-MA,[],https://www.imdb.com/title/tt7895706/?ref_=nm_flmg_slf_46
The 23rd Annual Critics' Choice Awards,['self'],5.1/10,2018,,TV Special,,['News'],https://www.imdb.com/title/tt7861522/?ref_=nm_flmg_slf_47
2018 Golden Globes Arrivals Special,['self'],5.8/10,2018,1h,TV Special,,"['Comedy', 'Music', 'News']",https://www.imdb.com/title/tt7875148/?ref_=nm_flmg_slf_48
The 75th Annual Golden Globe Awards,['self'],5.5/10,2018,,TV Special,,['Comedy'],https://www.imdb.com/title/tt6635044/?ref_=nm_flmg_slf_49
"The Disaster Artist: Oh, Hi Mark: Making a Disaster",['self'],6.8/10,2017,12m,Video,,"['Documentary', 'Short']",https://www.imdb.com/title/tt8386984/?ref_=nm_flmg_slf_50
