Title,Category,Rating,Year,Length,Type,Age,Genre
The Apology Dance,['thanks'],4.7/10,2010,1h 18m,Movie,Not Rated,"['Comedy', 'Romance']"
Now or Never,['thanks'],,2010,7m,Movie,,"['Short', 'Comedy', 'Thriller']"
Plan 666 from Outer Space,['thanks'],7.3/10,2010,26m,Movie,,"['Short', 'Comedy', 'Horror']"
club83,['thanks'],8.4/10,2009,1h 22m,Movie,,"['Comedy', 'Drama']"
Reiki,['thanks'],4.4/10,2009,1h 27m,Movie,,"['Action', 'Fantasy']"
Vampire City 2: Rock 'N Roll Zombies from Outer Space,['thanks'],5.8/10,2009,1h 15m,Movie,,"['Action', 'Comedy', 'Horror']"
Crossed,['thanks'],7.0/10,2009,18m,Movie,,"['Short', 'Action', 'Horror']"
A Bad Day,"['thanks', 'thanks']",,2009,10m,Movie,,"['Short', 'Action', 'Drama']"
The Open Road,['thanks'],5.5/10,2009,1h 31m,Movie,11,"['Comedy', 'Drama']"
Dead Exit,['thanks'],6.9/10,2009,17m,Movie,,"['Short', 'Action', 'Horror']"
Deep River: The Island,['thanks'],5.9/10,2009,1h 16m,Movie,,"['Action', 'Comedy', 'Drama']"
Vampires in Vienna,['thanks'],8.1/10,2009,29m,Movie,,"['Short', 'Action', 'Comedy']"
Dead Hooker in a Trunk,['thanks'],4.8/10,2009,1h 32m,Movie,Not Rated,['Horror']
Vampire City,['thanks'],6.0/10,2009,1h 11m,Movie,,"['Comedy', 'Horror']"
The Last Bad Neighborhood,['thanks'],5.5/10,2008,1h 25m,Movie,,['Action']
The Spirit,['thanks'],4.7/10,2008,1h 43m,Movie,15,"['Action', 'Crime', 'Fantasy']"
Take,['thanks'],6.9/10,2008,1h 2m,Movie,,"['Comedy', 'Drama']"
The Outlaw Emmett Deemus and the Porno Queen,['thanks'],6.7/10,2008,8m,Movie,,"['Short', 'Comedy']"
Murder Mystery,['thanks'],,2008,,Movie,,"['Short', 'Mystery']"
The Waitlist,['thanks'],7.8/10,2008,,Movie,,"['Documentary', 'Short']"
Ten Dead Men,['thanks'],3.4/10,2008,1h 30m,Movie,R,"['Action', 'Crime', 'Thriller']"
Wild Rebel,['thanks'],8.3/10,2008,27m,Movie,,"['Short', 'Drama']"
X,['thanks'],7.3/10,2008,15m,Movie,,['Short']
Red Princess Blues Animated: The Book of Violence,['thanks'],6.9/10,2007,7m,Movie,,"['Animation', 'Short']"
Phobia,['thanks'],7.7/10,2007,18m,Movie,,"['Short', 'Thriller']"
Hostel: Part II,['thanks'],5.5/10,2007,1h 34m,Movie,15,['Horror']
Die Schloßberg Sage,['thanks'],6.7/10,2007,5m,Video,,"['Short', 'Family', 'Fantasy']"
World Builder,['thanks'],7.2/10,2007,9m,Movie,,"['Short', 'Romance', 'Sci-Fi']"
Back to the Well: 'Clerks II',"['thanks', 'self']",7.7/10,2006,1h 30m,Video,,['Documentary']
Karma Café,['thanks'],7.3/10,2006,10m,Movie,Not Rated,"['Short', 'Comedy', 'Family']"
In the Headlights,['thanks'],5.7/10,2006,22m,Video,Unrated,"['Short', 'Horror']"
InZer0,['thanks'],7.0/10,2006,30m,Movie,,"['Short', 'Action', 'Adventure']"
The Quiet,['thanks'],6.2/10,2005,1h 36m,Movie,R,"['Crime', 'Drama', 'Thriller']"
Broken,['thanks'],4.2/10,2005,19m,Movie,,"['Short', 'Action', 'Crime']"
S.C.I.E.N.C.E,['thanks'],8.2/10,2004,1h 15m,Movie,R,"['Comedy', 'Romance']"
Kill Bill: Vol. 1,['thanks'],8.2/10,2003,1h 51m,Movie,15,"['Action', 'Crime', 'Drama']"
The Face of the Serpent,['thanks'],4.5/10,2003,1h 56m,Movie,R,"['Action', 'Adventure', 'Thriller']"
Outside Providence,['thanks'],6.4/10,1999,1h 36m,Movie,R,"['Comedy', 'Drama', 'Romance']"
Bloody Mess,['thanks'],5.9/10,1996,1h 28m,Movie,R,"['Comedy', 'Crime', 'Thriller']"
Swimming with Sharks,['thanks'],7.0/10,1994,1h 33m,Movie,R,"['Comedy', 'Crime']"
Long Lonesome Highway: The Story of Michael Parks,['self'],,,,Movie,,['Documentary']
Disney Gallery: Star Wars: The Book of Boba Fett,['self'],7.5/10,2022,1h 1m,TV Series,,['Documentary']
Hollywood Insider,['self'],8.1/10,2018–,,TV Series,,['Talk-Show']
